osm_type,osm_id,name,lat,lon,parking,access,fee
way,1492062392,,33.514826,126.580977,,,
way,1492062402,,33.517099,126.579126,,,
way,1492062405,,33.514790,126.579886,,,
way,1492467814,,33.519824,126.573513,,,
way,1492970598,,33.514761,126.574911,,,
way,1493011230,,33.519707,126.582585,,,
way,1493628712,,33.435240,126.917917,,,
way,1494104600,,33.522080,126.584530,,,
way,1494104606,,33.521434,126.584798,,,
way,1494121948,,33.520970,126.581590,,,
way,1494471940,,33.486342,126.811200,,,
way,1494502059,,33.520158,126.585098,,,
way,1495665675,,33.431641,126.929601,,,
way,1495665679,,33.432724,126.926896,,,
way,1495669128,,33.427972,126.925227,,,
way,1495695674,,33.432781,126.930096,,,
way,1495777206,,33.347516,126.496334,,,
way,1495802966,,33.431100,126.927062,,,
way,1495802967,,33.430118,126.927406,,,
way,1495802981,,33.434407,126.925967,,,
way,1495802982,,33.434359,126.926313,,,
way,1495816469,,33.435029,126.924198,,,
way,1495816473,,33.440012,126.919707,,,
way,1495816479,,33.439545,126.919898,,,
way,1495816535,,33.438407,126.918105,,,
way,1495816538,,33.438557,126.917628,,,
way,1495816548,,33.438935,126.918467,,,
way,1495816612,,33.448659,126.920454,,,
way,1496612124,,33.436178,126.913015,,,
way,1496612125,,33.435577,126.913076,,,
way,1496982228,,33.442616,126.918741,,,
way,1496982240,,33.446902,126.915798,,,
way,1497050720,,33.439888,126.918348,,,
way,1497050725,,33.441731,126.918887,,,
way,1497050729,,33.441853,126.919583,,,
way,1497052911,,33.446640,126.913613,,,
way,1497243680,,33.517912,126.576622,,,
way,1497457990,,33.447041,126.914092,,,
way,1497458027,,33.447435,126.915654,,,
way,1497458032,,33.449377,126.920503,,,
way,1497458055,,33.450542,126.922019,,,
way,1497458063,,33.449900,126.921360,,,
way,1497458799,,33.455676,126.925594,,,
way,1497599234,,33.522827,126.583650,,,
way,1497812968,,33.524915,126.586899,,,
way,1497812975,,33.524911,126.585625,,,
way,1497829082,,33.522433,126.585706,,private,
way,1497829083,,33.522158,126.585977,,private,
way,1497829088,,33.522651,126.586430,,yes,
way,1497829089,,33.522556,126.586185,,private,
way,1497829096,,33.523602,126.585359,,,
way,1497899532,,33.458949,126.929740,,,
way,1497899534,,33.459577,126.930160,,,
way,1497899576,,33.461667,126.933803,,,
way,1497900527,,33.462551,126.933503,,,
way,1498017852,,33.462193,126.932688,,,
way,1498120615,,33.526867,126.590494,,,
way,1498136094,,33.528267,126.593106,,,
way,1498325991,,33.463671,126.932229,,,
way,1498326001,,33.462750,126.932686,,,
way,1498326006,,33.462384,126.932088,,,
way,1498326014,,33.462233,126.933701,,,
way,1498326020,,33.463454,126.934062,,,
way,1498326021,,33.463130,126.934047,,,
way,1498326024,,33.463269,126.934881,street_side,,
way,1498944647,,33.519257,126.564524,,,
way,1498947499,,33.520141,126.564808,,,
way,1499508631,,33.522090,126.565230,,yes,
way,1499523096,,33.523234,126.565988,,,
way,1499523099,,33.523157,126.565540,surface,yes,
way,1499523125,,33.522992,126.564715,surface,yes,
way,1499530076,,33.522269,126.563032,surface,yes,
way,1501272349,,33.522416,126.565907,,yes,
way,1501272350,,33.522298,126.566709,,yes,
way,1501272356,,33.521829,126.567140,,,
way,1501272363,,33.522248,126.567605,,yes,
way,1502822558,,33.513662,126.523403,surface,customers,no
way,1525762994,,33.212936,126.282269,,,
way,1529015679,,33.504560,126.489341,,,
way,1529610623,,33.508979,126.529177,,,
way,1529621114,,33.509544,126.528836,,,
way,1529671907,,33.508909,126.529735,,,
way,1530008087,,33.513260,126.522087,,no,no
way,1530052733,관덕정 서측 노외공영주차장,33.513490,126.520617,,customers,yes
way,1530055197,,33.511232,126.530647,,,
way,1530085245,,33.510545,126.530582,,,
way,1530102337,,33.510144,126.530578,,,
way,1530107454,,33.516158,126.516155,,,
way,1530107455,,33.515513,126.516359,,,
way,1530107459,,33.515580,126.516554,,,
way,1530107460,,33.516193,126.516427,,,
way,1530151329,,33.515121,126.523852,,,
way,1530151363,대영빌딩전용주차장,33.514244,126.524382,,,
way,1530151365,,33.514425,126.524334,,,
way,1530180328,,33.509602,126.526420,,,
way,1530263259,,33.508846,126.525740,,,
way,1530263260,,33.508505,126.525770,,,
way,1530263282,,33.509070,126.525792,,,
way,1530271594,,33.508203,126.525969,,,
way,1530271642,,33.507572,126.526374,,,
way,1530296778,,33.508656,126.526943,,,
way,1530296812,,33.509164,126.526874,,,
way,1530368092,,33.509713,126.523816,,,
way,1530397605,,33.510909,126.525300,,,
way,1530397711,,33.511099,126.524998,,,
way,1530448129,,33.512061,126.525027,,,
way,1530459278,동문시장 해월주차빌딩,33.512751,126.525104,multi-storey,,
way,1530525395,동문재래시장공영주차장,33.510816,126.526086,multi-storey,,
way,1530749449,,33.511158,126.527790,,,
way,1530749454,,33.511352,126.527405,,,
way,1530764275,,33.511500,126.528277,,,
way,1530947862,,33.511550,126.530191,,,
way,1530986908,,33.511566,126.530454,,,
way,1531013554,,33.512107,126.530841,,,
way,1531019970,,33.512594,126.529149,,,
way,1531020018,,33.512496,126.529899,,,
way,1531085370,,33.511018,126.531862,street_side,,
way,1531187441,,33.513357,126.531367,,,
way,1531234604,,33.514322,126.531241,,,
way,1531333298,,33.514198,126.529350,,,
way,1531452404,,33.514955,126.529952,,,
way,1531473258,,33.514949,126.530567,,,
way,1531473259,,33.514994,126.530699,,,
way,1531473353,,33.516344,126.530984,,,
way,1531473356,,33.516378,126.531331,,,
way,1531494117,,33.514951,126.531008,,,
way,1531494195,,33.515315,126.531126,,,
way,1531494197,,33.515510,126.531470,,,
way,1531562296,,33.516884,126.530048,,,
way,1531592672,,33.516810,126.528325,,,
way,1531716815,,33.516474,126.529201,,,
way,1531841238,,33.516353,126.528138,,,
way,1531841249,,33.515373,126.527974,,,
way,1531841256,,33.515400,126.527781,,,
way,1531841265,,33.515544,126.527670,,,
